total 187 case




case name -->  dx_alphatestsplit 		result -->  GOOD_REF 		Variant name -->  long_dfc_noblend_noaa
case name -->  ogl_multiframe_4xmsaa 		result -->  GOOD 		Variant name -->  1t_f_2frames
case name -->  ogl_alphatestintersecttris 		result -->  GOOD 		Variant name -->  normal_diagonal
case name -->  ogl_alphatestintersecttris 		result -->  GOOD 		Variant name -->  normal_vertical
case name -->  ogl_alphatestintersecttris 		result -->  GOOD 		Variant name -->  normal_depthmodetoggle
case name -->  dx9_driverscripts 		result -->  GOOD 		Variant name -->  fog_vertex_linear
case name -->  dx9_driverscripts 		result -->  GOOD 		Variant name -->  texfmts_float
case name -->  dx_randompointsprites_2xmsaa 		result -->  GOOD_REF 		Variant name -->  1ps32_f
case name -->  ogl_zeroareatriangles 		result -->  GOOD_REF 		Variant name -->  nt
case name -->  ogl_randomtstrips_linefilled_4xmsaa 		result -->  GOOD_REF 		Variant name -->  500t_f_8888_fpmn
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_7layers
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_5layers
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_4layers
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_6layers
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_1layer
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_3layers
case name -->  ogl_multitexture 		result -->  GOOD_REF 		Variant name -->  8888_fpmn_2layers
case name -->  ogl_randomlineloop 		result -->  GOOD 		Variant name -->  1t_g
case name -->  ogl_randomlineloop 		result -->  GOOD 		Variant name -->  1t_f
case name -->  ogl_randomtriangles_pointfilled_2xmsaa 		result -->  GOOD 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  ogl_randomtriangles_2xmsaa 		result -->  GOOD 		Variant name -->  100t_g_8888_fpmn
case name -->  ogles2_sdk 		result -->  GOOD 		Variant name -->  Skinning
case name -->  ogl_edgeflags 		result -->  GOOD_REF 		Variant name -->  nt
case name -->  ogl_randomlinestrip_4xmsaa 		result -->  GOOD 		Variant name -->  1l_f_sp_8888_fpmn
case name -->  ogl_randomlinestrip_4xmsaa 		result -->  GOOD 		Variant name -->  1l_f_8888_fpmn
case name -->  ogl_randomtriangles_linefilled 		result -->  GOOD 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  ogl_randomtriangles_linefilled 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  ogl_randomtstrips_4xmsaa 		result -->  GOOD 		Variant name -->  500t_f_sp_8888_fpmn
case name -->  ogl_firstobjectintile 		result -->  GOOD 		Variant name -->  nt_translucentonly
case name -->  ogl_randomtstrips_2xmsaa 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomtstrips_2xmsaa 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  dx_gridmark 		result -->  GOOD_REF 		Variant name -->  256x256_bilinear_1_1_2opaque_16x16quads
case name -->  dx_gridmark 		result -->  GOOD_REF 		Variant name -->  bilinear_4_1_1opaque_2trans
case name -->  ogl_randomlinestrip_2xmsaa 		result -->  GOOD 		Variant name -->  500l_f
case name -->  ogl_randomlines_2xmsaa 		result -->  GOOD_REF 		Variant name -->  100l_f_8888_fpmn
case name -->  ogl_randomlines_2xmsaa 		result -->  GOOD 		Variant name -->  100l_g_sp_8888_fpmn
case name -->  dx_alphatestintersecttris 		result -->  GOOD 		Variant name -->  nt_diagonal
